provide,"[동] 제공하다, 공급하다, 준비하다"
develop,"[동] 개발하다, 발달하다, 발전시키다"
service,"[명] 서비스, 근무, 봉사, 공공 업무"
inform,"[동] 알리다, 통지하다"
relationship,[명] 관계
improve,"[동] 향상시키다, 나아지다, 향상하다"
individual,"[형] 개인의, 개인적인[명] 개인"
require,"[동] 요구하다, 필요로 하다"
advise,"[동] 충고하다, 조언하다"
social,"[형] 사회의, 사교적인"
amount,"[명] 총액, 총계, 양[동] 총계가 ~이 되다"
behave,[동] 행동하다
employ,"[동] 고용하다, 쓰다"
attitude,"[명] 태도, 입장"
research,"[명] 연구하다, 조사하다[명] 연구, 조사"
audience,"[명] 청중, 관객"
volunteer,"[명] 지원자, 자원봉사, 자원봉사자[동] 지원하다, 자원봉사하다"
influence,"[명] 영향, 영향을 미치는 것[사람][동] 영향을 미치다"
terrible,"[형] 끔직한, 형편없는, 무서운"
opportunity,[명] 기회
ability,"[명] 능력, 재능"
expense,"[명] 비용, 지출"
local,"[형] 지역의, 장소의, 지방의"
involve,"[동] 관련시키다, 포함하다, 관련되다"
stress,"[명] 스트레스, 긴장, 강조[동] 강조하다, 압력을 주다"
therefore,"[부] 그러므로, 그 결과"
positive,"[형] 긍정적인, 낙관적인, 확신하는"
average,"[형] 평균의, 보통의[명] 평균, 보통 수준[동] 평균 ~이다"
ride,"[동] 타다[명] 타기, 태우기, 타고가기"
encourage,"[동] 격려하다, 권장하다, 부추기다, 촉구하다"
determine,"[동] 결정하다, 결심하다"
international,"[형] 국제의, 국제적인"
consume,"[동] 소비하다, 먹다[마시다]"
impress,"[동] 감동시키다, 깊은 인상을 주다"
object,"[명] 물건, 물체, 목표[동] 반대하다"
available,"[형] 이용할 수 있는, 쓸모있는, 시간이 있는"
contain,"[동] 들어있다, 포함하다, 함유하다, 억제하다"
recognize,"[동] 인지하다 , 인정하다, 알아보다"
material,"[명] 재료, 소재, 물질[형] 물질의"
comfort,"[명] 편안, 평안함, 위안, 위로[동] 편안하게 하다, 위로하다"
emotion,[명] 감정
amaze,[동] 놀라게 하다
reduce,"[동] 줄이다, 낮추다"
discover,"[동] 발견하다, 알아내다"
decide,"[동] 결정하다, 결심하다"
benefit,"[명] 이익, 혜택[동] 도움이 되다"
affect,[동] 영향을 미치다
level,"[명] 수준, 정도, 수평[형] 수평의"
chemistry,[명] 화학
immediate,"[형] 즉각적인, 시급한, 직접적인"
thus,"[부] 그러므로, 따라서"
proper,"[형] 적절한, 알맞은"
performance,"[명] 공연, 성과"
essence,"[명] 본질, 정수"
economic,"[형] 경제의, 경제학의"
cell,[명] 세포
focus,[동] 집중하다[명] 초점
issue,"[명] 논란거리, 쟁점, 문제"
participate,"[동] 참여하다, 참가하다(in)"
demand,"[명] 요구, 수요[동] 요구하다"
occur,"[동] 발생하다, 일어나다, (생각이) 떠오르다"
complex,"[형] 복잡한[명] 복잡체, 복합 건물"
define,"[동] 정의하다, 한계 짓다, 한정하다, 규정하다"
proud,[형] 자랑스러워하는
aware,"[형] 인지하는, 인식하고 있는, 알고 있는"
contact,"[동] 연락하다[명] 접촉, 연락"
profession,"[명] 직업, 직종, 전문직"
detail,"[명] 세부, 세부사항[동] 상술하다"
approach,[동] 접근하다[명] 접근
career,"[명] 직업, 경력"
package,"[명] 꾸러미, 포장, 포장된 짐[동] 포장하다"
disappear,[동] 사라지다
novel,[명] 소설
secure,"[형] 안전한, 안정된[동] 안전하게 하다"
fashion,"[명] 유행, 패션, 방식[동] 만들어 내다"
despite,[전] ~에도 불구하고
background,"[명] (그림, 사람, 사건)배경, 배경 지식"
solution,"[명] 해결, 해결책"
generate,"[동] 일으키다, 발생시키다"
eventually,[부] 결국
decrease,"[동] 줄다[감소하다], 줄이다[명] 감소"
recycle,[동] 재활용하다
desire,"[명] 욕구, 욕망[동] 바라다"
balance,"[명] 균형, 은행 잔고[동] 균형을 이루다"
negative,[형] 부정적인
follow,"[동] 따라가다,  (규칙을) 따르다"
account,"[명] 은행 계좌, 이야기, 설명[동] 설명하다"
publish,"[동] 발표하다, 출판하다"
occasion,"[명] 경우, 특별한 일"
replace,[동] 대체하다
constant,"[형] 일정한, 불변의[명] (수학에서의) 상수"
expert,[명] 전문가
term,"[명] 용어, 기간, 학기"
relieve,"[동] 경감하다, 안도시키다"
describe,"[동] 묘사하다, 표현하다"
biology,[명] 생물학
due,"[형] 만기의, ~하기로 되어 있는"
equipment,"[명] 장치, 장비"
congratulate,[동] 축하하다
birth,[명] 탄생
compose,"[동] 구성하다, 작곡하다, 작문하다"
genius,"[명] 천재, 천재성"
reflect,"[동] 반영하다, 반사하다, 숙고하다"
cause,"[동] ~의 원인이 되다, 야기하다[명] 원인"
frequent,"[형] 빈번한[동] (장소,모임에) 자주 가다"
factor,"[명] 요인, 요소"
extreme,[형] 극단의[명] 극단
tend,"[동] ~하는 경향이 있다, 돌보다"
politics,"[명] 정치, 정치학"
insist,[동] 주장하다
extend,"[동] 연장하다, 넓히다"
lonely,[형] 외로운
habitat,"[명] 서식지, 주거지"
mental,[형] 정신의
steady,"[형] 안정된, 한결같은, 꾸준한"
exchange,[동] 교환하다
active,"[형]  활동적인, 적극적인"
species,[명] (생물분류상의) 종
athletic,"[형] 운동의, 운동경기의"
dental,[형] 치아의
delight,[명] 기쁨[동] 기쁘게 하다
confident,[형] 자신 있는
gradually,"[부] 점차, 서서히"
shadow,[명] 그림자[동] 그늘지게 하다
access,"[명] 접근, 이용[동] 접근하다"
announce,"[동] 발표하다, 알리다"
allow,"[동] 허락하다, 인정하다"
firm,"[형] 확고한, 단단한[명] 회사"
vary,"[동] 바꾸다, 변하다, 다르다"
injure,"[동] 상처를 입히다, 손상시키다"
permit,[동] 허용[허락]하다
response,"[명] 응답, 반응"
threat,"[동] 위협, 협박"
electricity,[명] 전기
disabled,"[형] 장애를 가진, 무능력하게 된"
lack,[명] 부족[동] ~이 부족하다
signify,"[동] 의미하다, 중요하다"
concentrate,[동] 집중하다
emphasize,[동] 강조하다
astronomy,[명] 천문학
flood,[명] 홍수[동] 범람시키다
fuel,[명] 연료[동] 연료를 가하다
manufacture,"[동] 제조하다[명] 제조(업), 제품"
movement,"[명] 움직임, 운동"
capable,"[형] ~을 할 수 있는, 유능한"
combine,"[동] 결합하다, 겸비하다"
gene,[명] 유전자
increase,"[동] (수량이) 증가하다[명] 증가, 이자"
victim,"[명] 희생, 피해자"
pressure,"[명] 압력, 압박[동] 압력을 가하다"
accompany,"[동] 동반[동행]하다, 수반하다"
frustrate,[동] 좌절시키다
construct,[동] 건설하다
dwindle,"[동] 점점 줄어들다, 저하되다"
commerce,"[명] 상업, 교역"
entertain,[동] 즐겁게 하다
predict,"[동] 예언하다, 예측하다"
apologize,[동] 사과하다
sight,"[명] 시야, 광경, 시력"
quantity,[명] 양
conclude,"[동] 결론짓다, 끝내다"
donate,[동] 기부하다
personality,"[명] 개성, 성격, 특색"
struggle,"[동] 싸우다, 노력하다[명] 투쟁, 노력"
advantage,"[명] 유리한 점, 이점"
variety,"[명] 다양, 다양성"
enable,[동] 가능하게 하다
instruction,"[명] 지시, 제품 사용 설명서, 가르침"
assume,"[동] 추정하다, (태도 등을) 취하다"
attempt,[동] 시도하다[명] 시도
incredible,"[형] 믿을 수 없는, (믿기 어려울 만큼) 굉장한"
feature,"[명] 특징, 특집 기사, 얼굴 생김새[동] ~을 특징으로 하다, 주연하다"
confuse,"[동] 혼동하다, 혼란시키다"
electronic,[형] 전자의
absorb,"[동] 흡수하다, (사람, 마음을) 열중시키다"
indicate,"[동] 가리키다, 나타내다"
analyze,[동] 분석하다
stock,"[명] 재고품, 저장, 가축[동] 저장하다, (물품을) 들여놓다"
resident,[명] 거주자
labor,"[명] 노동, 산고[동] 노동하다"
remark,"[명] 의견, 주목[동] 의견을 말하다, ~에 주목하다"
moral,[형] 도덕적인
embarrassed,[형] 당황한
claim,"[동] 주장하다[명] 요구, 주장"
reasonable,"[형] 논리적인, 분별력 있는"
interrupt,"[동] 방해하다, 중단하다"
discount,[명] 할인[동] 할인하다
creature,"[명] 생물, 피조물"
heal,"[동] 치료하다, 낫게 하다"
establish,"[동] 설립하다, 확립하다, 제정하다"
revolution,"[명] 혁명, 갑작스러운 변화, 회전"
criticize,[동] 비난하다
convince,"[동] 확신시키다, 납득시키다"
efficient,"[형] 효율적인, 유능한"
stranger,"[명] 낯선 사람, 문외한"
tide,"[명] 조수, 흐름"
obtain,"[동] 획득하다, 통용되다, 행해지다"
assist,[동] 도움을 주다
disaster,"[명] 재앙, 재난, 재해"
terrific,"[형] 굉장한, 훌륭한"
specific,"[형] 구체적인, 특정한"
react,"[동] 반응하다, 반작용하다"
independent,[형] 독립적인
theory,[명] 이론
qualify,[동] 자격을 얻다
consider,"[동] 숙고하다, 고려하다"
recall,"[동] 상기하다, 철회하다, 회수하다; [명] 상기, 철회"
risk,"[명] 위험, [동] 위험을 감수하다"
treatment,"[명] 취급, 대우, 치료(법)"
engage,"[동] 관여하다, 약속하다, 약혼하다"
motivate,[동] 동기를 부여하다
clue,"[명] 실마리, 단서"
cancer,"[명] 암, 악성 종양"
elder,[형] 나이가 위인; [명] 연장자
depress,"[동] 우울하게 하다, 의기소침(낙담)하게 하다"
fascinate,"[동] 매료시키다, 마음을 빼앗다"
violent,"[형] 난폭한, 폭력적인"
alarm,"[명] 놀람, 경보"
edge,"[명] 가장자리, 날카로움, 우위"
deserve,[동] ~을 받을 만하다(가치가 있다)
route,"[명] 길, 통로, 항로"
psychology,"[명] 심리, 심리학"
passion,[명] 열정
import,"[동] 수입하다, 의미하다 [명] 수입"
